83501	0001	ID-01
84001	0001	UT-01
84004	0001	UT-03
84005	2000	UT-04
84010	0900	UT-02
85001	0001	AZ-07
85045	0302	AZ-09
85266	0001	AZ-06
86011	0001	AZ-01
85277	0001	AZ-05
85376	0001	AZ-08
85754	0001	AZ-03
86334	0001	AZ-04
85602	0001	AZ-02
87005	0001	NM-02
87008	0001	NM-01
87010	0001	NM-03
89001	0001	NV-04
89002	0100	NV-03
89102	1000	NV-01
89830	0001	NV-02
90013	0001	CA-34
90009	0001	CA-43
90008	0051	CA-37
91041	0001	CA-28
90082	0001	CA-40
90274	0001	CA-33
90220	1000	CA-44
90607	4000	CA-38
92885	0001	CA-39
90815	0001	CA-47
92660	8034	CA-48
91003	0001	CA-27
91009	0001	CA-32
91495	0001	CA-30
91310	0001	CA-25
91319	0001	CA-26
91331	1001	CA-29
92334	0001	CA-35
91729	0001	CA-31
92382	0001	CA-08
92059	0001	CA-50
91932	1001	CA-51
91942	0001	CA-53
92007	0001	CA-49
92112	0001	CA-52
92201	0500	CA-36
92513	0001	CA-41
92883	0001	CA-42
92616	4001	CA-45
92856	0001	CA-46
93002	0001	CA-24
93201	0001	CA-21
93205	0001	CA-23
93670	0001	CA-22
93450	0001	CA-20
93601	0001	CA-04
93606	0001	CA-16
94005	0001	CA-14
94060	0001	CA-18
95002	0001	CA-17
94117	0001	CA-12
94203	0200	CA-06
94501	0009	CA-13
94517	0001	CA-11
94508	0001	CA-05
95203	0001	CA-09
95616	0001	CA-03
94552	1001	CA-15
94901	1000	CA-02
95013	3001	CA-19
95313	0001	CA-10
96056	0001	CA-01
95624	0001	CA-07
96701	0001	HI-01
96703	0001	HI-02
96799	0001	AQ-00
96910	1400	GU-00
96952	0001	MP-00
97001	0001	OR-02
97002	0001	OR-05
97009	0001	OR-03
97005	0001	OR-01
97322	1683	OR-04
98068	0001	WA-08
98422	0001	WA-09
98011	1500	WA-01
98013	0001	WA-07
98243	0001	WA-02
98305	0001	WA-06
98433	0001	WA-10
98336	0001	WA-03
98814	0001	WA-04
99228	0001	WA-05
99501	0999	AK-00
